Location,Births
Afghanistan,2015.476
Africa,57582.718
Albania,264.644
Algeria,2337.677
Andean Community,6538.286
Angola,1162.277
Antigua and Barbuda,7.983
Argentina,2279.824
Armenia,246.263
Aruba,9.055
Asia,309971.04
Asia-Pacific Economic Cooperation (APEC),221279.935
Asia-Pacific Group,308829.429
Association of Southeast Asian Nations (ASEAN),38263.898
Australia,996.415
Australia/New Zealand,1254.84
Austria,522.023
Azerbaijan,622.667
Bahamas,14.12
Bahrain,28.043
Bangladesh,9201.485
Barbados,37.72
Belarus,891.096
Belgium,731.894
Belize,19.049
Benin,465.125
Bhutan,44.909
Brazil,12779.596
Brunei Darussalam,13.671
Bulgaria,788.968
Burkina Faso,1037.684
Burundi,605.461
Cabo Verde,45.634
Cambodia,1161.198
Cameroon,951.896
Canada,2010.781
