Location;Births
Afghanistan;2015.476
Afghanistan;2201.589
Afghanistan;2439.13
Afghanistan;2728.221
Afghanistan;3056.451
Afghanistan;3294.738
Afghanistan;3164.281
Afghanistan;3006.757
Afghanistan;3701.778
Afghanistan;4755.189
Afghanistan;5394.05
Afghanistan;5828.482
Afghanistan;5898.49
Afghanistan;6024.265
Afghanistan;6118.618
Afghanistan;6156.694
Afghanistan;6148.908
Afghanistan;6086.715
Afghanistan;5965.37
Afghanistan;5791.247
Afghanistan;5612.012
Afghanistan;5418.495
Afghanistan;5205.02
Afghanistan;4985.193
Afghanistan;4774.123
Afghanistan;4571.37
Afghanistan;4379.592
Afghanistan;4195.183
Afghanistan;4017.995
Afghanistan;3848.645
Africa;57582.718
Africa;63851.574
Africa;71218.897
Africa;79405.504
Africa;89551.648
Africa;101369.849
Africa;114418.462
Africa;126310.494
Africa;136368.485
Africa;148663.883
Africa;163203.397
Africa;180855.457
Africa;199194.633
Africa;212112.876
Africa;225108.727
Africa;238808.815
Africa;253035.5
Africa;266511.09
Africa;278256.503
Africa;287787.106
Africa;295881.719
Africa;302745.589
Africa;308804.853
Africa;313508.824
Africa;316892.078
Africa;318822.406
Africa;319172.968
Africa;318462.847
Africa;316916.382
Africa;314608.513
African Group;57507.064
African Group;63768.493
African Group;71122.871
African Group;79302.838
African Group;89460.698
African Group;101273.419
African Group;114306.962
African Group;126185.585
African Group;136240.516
African Group;148528.406
African Group;163053.096
African Group;180697.336
African Group;199032.634
African Group;211953.782
African Group;224947.507
African Group;238644.429
African Group;252868.718
African Group;266343.613
African Group;278089.439
African Group;287621.034
African Group;295716.998
African Group;302582.004
African Group;308642.264
African Group;313347.675
African Group;316732.695
African Group;318664.915
African Group;319017.488
African Group;318309.069
African Group;316764.225
African Group;314458.037
African Union;57511.282
African Union;63775.331
African Union;71133.747
African Union;79318.808
African Union;89477.545
African Union;101298.304
African Union;114340.207
African Union;126220.77
African Union;136277.645
African Union;148567.166
African Union;163097.965
African Union;180747.612
African Union;199088.494
African Union;212010.807
African Union;225006.392
African Union;238704.222
African Union;252929.187
African Union;266405.236
African Union;278152.493
African Union;287685.483
African Union;295782.275
African Union;302647.809
African Union;308708.664
African Union;313414.77
African Union;316800.726
African Union;318733.861
African Union;319087.234
African Union;318379.595
African Union;316835.498
African Union;314530.016
African Union: Central Africa;5730.755
African Union: Central Africa;6344.989
African Union: Central Africa;7167.191
African Union: Central Africa;8145.948
African Union: Central Africa;9239.458
African Union: Central Africa;10578.911
African Union: Central Africa;12146.942
African Union: Central Africa;13897.828
African Union: Central Africa;15999.205
African Union: Central Africa;18182.472
African Union: Central Africa;20710.336
African Union: Central Africa;23785.998
African Union: Central Africa;26771.499
African Union: Central Africa;29273.927
African Union: Central Africa;31788.66
African Union: Central Africa;34393.016
African Union: Central Africa;36956.74
African Union: Central Africa;39223.926
African Union: Central Africa;41156.693
African Union: Central Africa;42696.617
African Union: Central Africa;43997.276
African Union: Central Africa;45128.217
African Union: Central Africa;46048.208
African Union: Central Africa;46765.035
African Union: Central Africa;47228.208
African Union: Central Africa;47388.66
African Union: Central Africa;47213.862
African Union: Central Africa;46952.863
African Union: Central Africa;46534.465
African Union: Central Africa;46041.618
African Union: Eastern Africa;14461.316
African Union: Eastern Africa;16139.823
African Union: Eastern Africa;18305.79
African Union: Eastern Africa;20878.502
African Union: Eastern Africa;24210.118
African Union: Eastern Africa;27899.549
African Union: Eastern Africa;32080.264
African Union: Eastern Africa;36529.674
African Union: Eastern Africa;40706.734
African Union: Eastern Africa;45793.451
African Union: Eastern Africa;50242.966
African Union: Eastern Africa;54483.844
African Union: Eastern Africa;58131.061
African Union: Eastern Africa;62023.438
African Union: Eastern Africa;66332.847
African Union: Eastern Africa;70251.874
African Union: Eastern Africa;73620.376
African Union: Eastern Africa;76421.794
African Union: Eastern Africa;79058.648
African Union: Eastern Africa;81399.821
African Union: Eastern Africa;83400.179
African Union: Eastern Africa;85038.394
African Union: Eastern Africa;86266.53
African Union: Eastern Africa;87079.072
African Union: Eastern Africa;87515.979
African Union: Eastern Africa;87689.004
African Union: Eastern Africa;87577.096
African Union: Eastern Africa;87150.311
African Union: Eastern Africa;86545.264
African Union: Eastern Africa;85786.808
African Union: Northern Africa;11778.564
African Union: Northern Africa;13052.544
African Union: Northern Africa;14303.469
African Union: Northern Africa;15428.573
African Union: Northern Africa;16409.825
African Union: Northern Africa;17779.29
African Union: Northern Africa;19274.379
African Union: Northern Africa;19664.36
African Union: Northern Africa;18557.713
African Union: Northern Africa;17383.078
African Union: Northern Africa;17395.121
African Union: Northern Africa;19476.998
African Union: Northern Africa;23439.875
African Union: Northern Africa;23933.924
African Union: Northern Africa;22957.747
African Union: Northern Africa;22295.097
African Union: Northern Africa;22720.545
African Union: Northern Africa;23773.011
African Union: Northern Africa;24486.571
African Union: Northern Africa;24624.44
African Union: Northern Africa;24309.666
African Union: Northern Africa;23952.675
African Union: Northern Africa;23739.765
African Union: Northern Africa;23574.339
African Union: Northern Africa;23377.012
African Union: Northern Africa;23109.246
African Union: Northern Africa;22731.222
